2024-07-23 19:31:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-10-27 12:17:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-02-09 10:18:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-09-28 13:52:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-04-12 09:16:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-02-22 08:26:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-08-17 16:32:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-06-18 12:26:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-02-28 11:24:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-06-08 11:49:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-12-02 20:33:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-08-17 17:49:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-06-17 10:33:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-06-15 14:22:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-06-09 14:50:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-09-06 19:24:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-01-20 10:27:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-06-11 12:11:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-11-24 21:35:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-10-13 15:56:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-08-15 17:25:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-02-05 07:51:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-12-17 11:24:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-02-05 09:20:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-08-23 10:36:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-02-17 19:50:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-05-21 12:51:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-06-18 15:15:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-01-28 15:25:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-02-23 08:10:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-10-05 10:13:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-09-10 14:03:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-07-17 19:03:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-06-06 09:39:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-11-14 19:47:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-06-21 09:43:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-05-10 15:40:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-04-14 08:15:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-10-08 20:44:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-07-17 14:37:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-01-04 21:13:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-04-11 17:21:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-02-22 12:26:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-11-19 14:12:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-06-09 21:24:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-04-18 16:49:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-05-07 11:12:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-09-27 16:32:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-11-13 14:58:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-10-28 11:58:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-02-03 15:07:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-07-25 21:07:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-09-25 18:08:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-11-04 19:44:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-12-10 18:43:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-02-20 08:35:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-07-04 09:48:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-03-28 21:05:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-09-16 20:42:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-07-16 11:19:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-01-15 07:15:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-02-04 14:28:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-12-28 15:28:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-02-05 07:17:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-06-14 07:39:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-12-05 15:10:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-10-28 19:04:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-05-24 11:06:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-07-20 11:04:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-05-01 16:34:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-08-17 19:57:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-12-24 17:20:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-07-19 08:31:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-12-10 09:52:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-06-24 08:21:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-04-14 11:11:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-10-02 12:02:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-11-09 07:50:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-09-03 17:43:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-08-08 21:13:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-10-21 07:45:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-12-04 21:27:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-10-25 21:38:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-06-21 12:06:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-01-19 17:38:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-02-07 10:34:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-02-14 10:15:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-11-23 20:30:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-09-26 17:48:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-01-24 07:59:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-06-19 21:52:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-05-10 16:47:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-04-05 08:53:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-12-03 10:58:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-06-21 21:52:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-01-25 16:21:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-05-15 08:02:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-02-16 11:34:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-07-09 12:10:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-11-05 11:45:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-05-03 18:53:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-08-27 09:42:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-10-16 07:11:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-02-23 17:41:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-07-05 17:49:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-02-21 13:39:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-02-13 09:24:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2025-09-07 09:07:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-03-08 07:16:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-12-27 15:15:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-03-19 11:10:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-01-01 21:36:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-02-13 12:18:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-01-18 18:05:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-07-27 21:02:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-08-05 13:48:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-12-10 09:41:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-06-01 14:36:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-04-17 12:19:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-03-10 12:06:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-01-01 14:47:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-10-05 18:26:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-11-13 14:50:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2025-11-15 20:51:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-09-12 17:56:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-07-07 14:20:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-03-25 14:00:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-11-23 08:51:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-11-18 08:13:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-01-06 15:49:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-11-05 19:25:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2025-04-12 10:50:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2025-06-24 15:22:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-11-25 08:52:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-04-25 11:18:00 | repo=a4m36jee-2014-cdi-seminar | action=test
2024-09-01 21:53:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-04-16 18:07:00 | repo=a4m36jee-2014-cdi-seminar | action=edit
2024-11-18 14:02:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
2024-02-04 20:10:00 | repo=a4m36jee-2014-cdi-seminar | action=pull
2024-07-22 08:47:00 | repo=a4m36jee-2014-cdi-seminar | action=commit
